SSTID CF Level size Creation Deletion key_start key_end
561 0 1 134519671 1681270844 1681270850 23823471 24772246
562 0 1 130406420 1681270845 1681270851 24772251 25697666
563 0 1 134519590 1681270846 1681270853 25697703 26740700
564 0 1 134518071 1681270847 1681270853 26740799 27788694
565 0 1 61552234 1681270847 1681270866 27788726 29912858
566 0 1 2099815 1681270848 1681270866 29912967 29999784
568 0 0 36721008 1681270848 1681270855 4228 29996446
570 0 0 36726535 1681270848 1681270856 7785 29999993
573 0 0 36726520 1681270848 1681270856 1998 29999253
575 0 0 36726443 1681270848 1681270856 2279 29999846
578 0 0 36726542 1681270849 1681270857 2545 29977942
580 0 0 36726577 1681270849 1681270857 2225 29998426
571 0 2 67263723 1681270848 1681270960 4371705 4724393
576 0 2 67262296 1681270848 1681270958 4724400 5074356
582 0 2 5087115 1681270849 1681270935 5074379 5101998
583 0 0 36732242 1681270849 1681270858 5282 29991283
586 0 0 36732271 1681270849 1681270858 516 29993803
588 0 0 36726633 1681270849 1681270858 1127 29998431
591 0 0 36732269 1681270849 1681270859 1862 29990185
593 0 0 36732382 1681270849 1681270859 3415 29998527
584 0 2 67261011 1681270849 1681270958 29 351831
589 0 2 67265051 1681270849 1681270957 351906 706860
595 0 2 3650074 1681270850 1681270942 706969 727198
596 0 0 36726503 1681270850 1681270859 9011 29995342
599 0 0 36732342 1681270850 1681270860 12023 29998002
601 0 0 36732179 1681270850 1681270860 23 29996457
604 0 0 36732153 1681270850 1681270860 1531 29998114
606 0 0 36732081 1681270850 1681270861 3227 29998099
597 0 2 67264868 1681270850 1681270943 727212 1085259
602 0 2 67264200 1681270850 1681270943 1085262 1443597
608 0 2 2293151 1681270850 1681270891 1443639 1455135
609 0 0 36732233 1681270850 1681270861 1093 29995623
612 0 0 36726622 1681270851 1681270861 6474 29998817
614 0 0 36726568 1681270851 1681270862 4883 29996227
617 0 0 36732209 1681270851 1681270862 5348 29999796
610 0 2 67265775 1681270850 1681270870 22949038 23952507
615 0 2 67265495 1681270851 1681270938 23952516 24309542
618 0 2 67265151 1681270851 1681270938 24309543 24664911
619 0 2 67264840 1681270852 1681270940 24664990 25020314
620 0 2 67263894 1681270852 1681270940 25020336 25377221
621 0 2 60809110 1681270852 1681270939 25377230 25697679
622 0 2 67264411 1681270853 1681270939 25697703 26051170
623 0 2 67264164 1681270853 1681271005 26051200 26407084
624 0 2 67265677 1681270853 1681270959 26407087 26758313
625 0 2 67263569 1681270854 1681270941 26758315 27113862
626 0 2 67264219 1681270854 1681270941 27113893 27469283
627 0 2 64367289 1681270854 1681270917 27469297 27857168
642 0 0 36721013 1681270859 1681270875 503 29998124
628 0 1 73942306 1681270855 1681270883 23 1937426
629 0 1 74097638 1681270855 1681270883 1937500 2897340
630 0 1 57300365 1681270856 1681270883 2897407 3644067
631 0 1 90971612 1681270856 1681270867 3644120 4371668
632 0 1 60595778 1681270856 1681270884 4371918 5920608
633 0 1 65667722 1681270857 1681270884 5920631 7215152
634 0 1 78766550 1681270857 1681270884 7215234 8277294
635 0 1 68769892 1681270858 1681270885 8277488 9173330
636 0 1 60316076 1681270858 1681270874 9173386 9765462
637 0 1 59911116 1681270858 1681270885 9765574 10355144
638 0 1 60042111 1681270859 1681270886 10355514 10945424
639 0 1 60966558 1681270859 1681270871 10945625 11543821
640 0 1 60578748 1681270859 1681270873 11544082 12137987
643 0 1 59887335 1681270860 1681270886 12138045 12725806
644 0 1 61000934 1681270860 1681270871 12726219 13319726
645 0 1 59602259 1681270860 1681270886 13319749 13906726
646 0 1 75386423 1681270861 1681270887 13906799 14874316
647 0 1 71292188 1681270861 1681270887 14874380 15816831
648 0 1 73418858 1681270861 1681270887 15817083 16777920
649 0 1 68038805 1681270862 1681270868 16778144 17396598
650 0 1 61331172 1681270862 1681270870 17396611 17992584
651 0 1 60075027 1681270863 1681270874 17992697 18577472
652 0 1 60623173 1681270863 1681270872 18577560 19174302
653 0 1 59163912 1681270863 1681270887 19174348 19769050
654 0 1 63939583 1681270864 1681270887 19769239 21003631
655 0 1 76648186 1681270864 1681270887 21003954 22511694
656 0 1 134520817 1681270864 1681270869 22511831 23628516
657 0 1 53981188 1681270865 1681270887 23628544 24664184
658 0 1 62933909 1681270865 1681270887 24665145 27113508
659 0 1 70474715 1681270866 1681270887 27114194 28677764
660 0 1 63739378 1681270866 1681270887 28677959 29912858
661 0 1 4416096 1681270866 1681270887 29912967 29999993
663 0 0 36732270 1681270867 1681270875 4506 29994050
665 0 0 36726615 1681270867 1681270876 3347 29992162
